Date,Close/Last,Volume,Open,High,Low
03/22/2024,$942.89,58671940,$911.41,$947.7799,$908.3401
03/21/2024,$914.35,48037230,$923.00,$926.48,$904.05
03/20/2024,$903.72,47906280,$897.97,$904.10,$882.23
03/19/2024,$893.98,67217130,$867.00,$905.44,$850.10
03/18/2024,$884.55,66897590,$903.88,$924.05,$870.85
03/15/2024,$878.365,64208620,$869.30,$895.46,$862.57
03/14/2024,$879.44,60231820,$895.77,$906.46,$866.00
03/13/2024,$908.88,63571290,$910.55,$915.04,$884.35
03/12/2024,$919.13,66807520,$880.49,$919.60,$861.501
03/11/2024,$857.74,67836410,$864.29,$887.97,$841.66
03/08/2024,$875.28,114226900,$951.379,$974.00,$865.06
03/07/2024,$926.69,60811920,$901.58,$927.67,$896.0201
03/06/2024,$887.00,58252030,$880.22,$897.24,$870.3001
03/05/2024,$859.64,52063930,$852.70,$860.97,$834.1701
03/04/2024,$852.37,61561650,$841.30,$876.95,$837.19
03/01/2024,$822.79,47913510,$800.00,$823.00,$794.3503
02/29/2024,$791.12,50728900,$790.94,$799.90,$783.50
02/28/2024,$776.63,39311040,$776.20,$789.33,$771.25
02/27/2024,$787.01,39170520,$793.81,$794.80,$771.62
02/26/2024,$790.92,50397270,$797.00,$806.4599,$785.05
02/23/2024,$788.17,82938840,$807.90,$823.94,$775.70
02/22/2024,$785.38,86509970,$750.25,$785.75,$742.20
02/21/2024,$674.72,69029810,$680.06,$688.88,$662.48
02/20/2024,$694.52,70483310,$719.47,$719.56,$677.34
02/16/2024,$726.13,49532660,$741.00,$744.02,$725.01
02/15/2024,$726.58,42012180,$738.69,$739.75,$724.00
02/14/2024,$739.00,50491740,$732.02,$742.36,$719.38
02/13/2024,$721.28,60258020,$704.00,$734.50,$696.20
02/12/2024,$722.48,61371020,$726.00,$746.11,$712.50
02/09/2024,$721.33,43663690,$705.33,$721.85,$702.12
02/08/2024,$696.41,41442210,$700.74,$707.94,$694.55
02/07/2024,$700.99,49557460,$683.19,$702.20,$676.00
02/06/2024,$682.23,68311140,$696.30,$697.5399,$663.00
02/05/2024,$693.32,68007800,$682.25,$694.97,$672.05
02/02/2024,$661.60,47657770,$639.74,$666.00,$636.90
02/01/2024,$630.27,36914580,$621.00,$631.91,$616.50
01/31/2024,$615.27,45379490,$614.40,$622.6902,$607.00
01/30/2024,$627.74,41073530,$629.00,$634.93,$622.60
01/29/2024,$624.65,34873300,$612.32,$624.89,$609.07
01/26/2024,$610.31,39030860,$609.60,$617.83,$605.73
01/25/2024,$616.17,48277680,$623.50,$627.19,$608.50
01/24/2024,$613.62,56027080,$603.04,$628.49,$599.38
01/23/2024,$598.73,29465450,$595.70,$599.10,$585.85
01/22/2024,$596.54,45295460,$600.49,$603.31,$590.70
01/19/2024,$594.91,54350150,$579.89,$595.00,$572.25
01/18/2024,$571.07,49165040,$572.60,$576.00,$561.07
01/17/2024,$560.53,47439440,$563.47,$564.7068,$547.40
01/16/2024,$563.82,44957970,$550.18,$568.3499,$549.00
01/12/2024,$547.10,35299360,$546.20,$549.70,$543.3008
01/11/2024,$548.22,59675880,$549.99,$553.46,$535.60
01/10/2024,$543.50,53379580,$536.16,$546.00,$534.89
01/09/2024,$531.40,77310010,$524.01,$543.25,$516.90
01/08/2024,$522.53,64250990,$495.12,$522.75,$494.79
01/05/2024,$490.97,41503930,$484.62,$495.47,$483.0601
01/04/2024,$479.98,30653490,$477.67,$485.00,$475.08
01/03/2024,$475.69,32089620,$474.85,$481.841,$473.20
01/02/2024,$481.68,41125420,$492.44,$492.95,$475.95
12/29/2023,$495.22,38929330,$498.13,$499.97,$487.51
12/28/2023,$495.22,24658750,$496.43,$498.8399,$494.12
12/27/2023,$494.17,23364800,$495.11,$496.80,$490.85
12/26/2023,$492.79,24419950,$489.68,$496.00,$489.60
12/22/2023,$488.30,25250680,$491.95,$493.83,$484.67
12/21/2023,$489.90,30042540,$488.11,$490.95,$484.19
12/20/2023,$481.11,39789440,$496.55,$499.99,$480.98
12/19/2023,$496.04,46444450,$494.24,$497.00,$488.95
12/18/2023,$500.77,41258720,$494.00,$504.3299,$491.50
12/15/2023,$488.90,47994760,$481.94,$494.04,$481.20
12/14/2023,$483.50,39123170,$483.90,$486.70,$474.22
12/13/2023,$480.88,44779190,$476.29,$485.94,$476.08
12/12/2023,$476.57,37238690,$460.46,$476.66,$460.46
12/11/2023,$466.27,50972810,$474.91,$475.31,$458.30
12/08/2023,$475.06,35922370,$465.95,$477.4085,$465.50
12/07/2023,$465.96,35082260,$457.00,$466.29,$456.04
12/06/2023,$455.03,38058960,$472.145,$473.87,$454.12
12/05/2023,$465.66,37171760,$454.66,$466.00,$452.71
12/04/2023,$455.10,43754340,$460.77,$460.77,$450.10
12/01/2023,$467.65,36931700,$465.25,$472.00,$461.87
11/30/2023,$467.70,52624660,$480.24,$481.10,$464.22
11/29/2023,$481.40,38200470,$483.79,$487.62,$478.60
11/28/2023,$478.21,40149090,$482.36,$483.229,$474.73
11/27/2023,$482.42,39566190,$478.00,$485.30,$476.52
11/24/2023,$477.76,29464460,$484.70,$489.21,$477.45
11/22/2023,$487.16,90064230,$498.52,$503.3494,$476.90
11/21/2023,$499.44,56574690,$501.26,$505.17,$492.22
11/20/2023,$504.09,41614260,$493.12,$505.48,$491.8101
11/17/2023,$492.98,32589690,$495.24,$497.17,$490.07
11/16/2023,$494.80,33975620,$486.79,$495.2469,$483.30
11/15/2023,$488.88,47549740,$499.35,$499.60,$482.00
11/14/2023,$496.56,41695390,$496.80,$498.34,$490.4001
11/13/2023,$486.20,38413570,$483.20,$491.16,$480.9901
11/10/2023,$483.35,42244160,$475.00,$484.72,$472.8301
11/09/2023,$469.50,54049600,$474.67,$482.30,$467.50
11/08/2023,$465.74,34671890,$461.00,$468.67,$459.68
11/07/2023,$459.55,34316550,$457.19,$462.18,$451.575
11/06/2023,$457.51,40073340,$452.845,$459.35,$448.99
11/03/2023,$450.05,42460960,$440.20,$453.0899,$437.23
11/02/2023,$435.06,40917190,$433.28,$438.84,$428.94
11/01/2023,$423.25,43759290,$408.84,$423.81,$408.69
10/31/2023,$407.80,51796870,$404.50,$408.79,$392.3001
10/30/2023,$411.61,38802810,$410.87,$417.66,$404.81
10/27/2023,$405.00,41678440,$411.30,$412.06,$400.15
10/26/2023,$403.26,54100130,$418.53,$422.5555,$398.8019
10/25/2023,$417.79,39837920,$433.98,$436.50,$415.55
10/24/2023,$436.63,40146340,$430.77,$436.97,$426.91
10/23/2023,$429.75,47853050,$412.29,$432.4799,$409.45
10/20/2023,$413.87,47726610,$418.90,$424.70,$410.78
10/19/2023,$421.01,50123310,$428.11,$432.97,$418.82
10/18/2023,$421.96,62729430,$425.91,$432.19,$418.25
10/17/2023,$439.38,81233270,$440.00,$447.54,$424.80
10/16/2023,$460.95,37509920,$450.63,$462.25,$449.12
10/13/2023,$454.61,47542600,$469.60,$471.16,$452.80
10/12/2023,$469.45,48132500,$467.77,$476.09,$463.30
10/11/2023,$468.06,37813690,$461.96,$468.59,$460.50
10/10/2023,$457.98,36858210,$453.10,$462.59,$450.88
10/09/2023,$452.73,40967470,$448.42,$456.05,$443.68
